GPS_TOW,time,高度,攻角,法向加速度,空速,滚转角,俯仰角
580438.0,87.72000122070312,258.1302185058594,0.05225934833288193,0.07060603052377701,-0.7173781394958496,-0.032835353165864944,0.10907894372940063
580438.0,87.73999786376953,258.1302185058594,0.06200617551803589,0.07060603052377701,-0.6212676167488098,-0.0326509028673172,0.10912110656499863
580438.0,87.76000213623047,258.1302185058594,0.06238316372036934,0.07060603052377701,-0.6212676167488098,-0.03256933018565178,0.10918129235506058
580438.0,87.77999877929688,258.1302185058594,0.05379872769117355,0.07060603052377701,-1.1896382570266724,-0.0326058566570282,0.10917284339666367
580438.0,87.80000305175781,258.1302185058594,0.06318426877260208,0.07060603052377701,-0.7173781394958496,-0.03284997120499611,0.1091177687048912
580438.0,87.81999969482422,258.1302185058594,0.0627758651971817,0.07060603052377701,-0.7173781394958496,-0.03310186043381691,0.10909532010555267
580438.0,87.83999633789062,258.1302185058594,0.05285624787211418,0.07060603052377701,-1.1896345615386963,-0.033237434923648834,0.10910604149103165
580438.0,87.86000061035156,258.1302185058594,0.04474887251853943,0.07060603052377701,-0.6212676167488098,-0.03323695436120033,0.1090458333492279
580438.0,87.87999725341797,258.1302185058594,0.05247925966978073,0.07060603052377701,-0.6212676167488098,-0.03304672613739967,0.10900769382715225
580438.0,87.9000015258789,258.1302185058594,0.061849094927310944,0.07060603052377701,-0.7173773646354675,-0.032930076122283936,0.10895093530416489
580438.0,87.91999816894531,258.1302185058594,0.05854881927371025,0.07060603052377701,-0.7173781394958496,-0.03280395269393921,0.10891447216272354
580438.0,87.94000244140625,258.1302185058594,0.04933029040694237,0.07060603052377701,-0.6212676167488098,-0.032786618918180466,0.10894662886857986
580438.0,87.95999908447266,258.1302185058594,0.053186118602752686,0.07060603052377701,-0.8020532727241516,-0.03281763941049576,0.10892760008573532
580438.0,87.9800033569336,258.1302185058594,0.058737315237522125,0.07060603052377701,-0.6212676167488098,-0.03288538008928299,0.10895517468452454
580438.0,88.0,258.1302185058594,0.05329607427120209,0.07060603052377701,-1.2932734489440918,-0.03295096009969711,0.10891355574131012
580438.0,88.0199966430664,258.1302185058594,0.0397787019610405,0.07060603052377701,-1.1896345615386963,-0.03306883946061134,0.1088544949889183
580438.0,88.04000091552734,258.1302185058594,0.048560597002506256,0.07060603052377701,-2.0605201721191406,-0.033070456236600876,0.1088460385799408
580438.0,88.05999755859375,258.1302185058594,0.05826607719063759,0.07060603052377701,-0.8020532727241516,-0.032903432846069336,0.10880614817142487
580438.0,88.08000183105469,258.1302185058594,0.0714445635676384,0.07060603052377701,-1.4789156913757324,-0.0328218974173069,0.1088017076253891
580438.0,88.0999984741211,258.1302185058594,0.045047320425510406,0.07060603052377701,-1.8638091087341309,-0.032777052372694016,0.10876180231571198
580438.0,88.12000274658203,258.1302185058594,0.05820324644446373,0.07060603052377701,-1.1342754364013672,-0.03269318863749504,0.1086358055472374
580438.0,88.13999938964844,258.1302185058594,0.04929887130856514,0.07060603052377701,-1.5634926557540894,-0.032619036734104156,0.10855928808450699
580438.0,88.16000366210938,258.1302185058594,0.04956590756773949,0.07060603052377701,-0.7173781394958496,-0.03262700140476227,0.10864146798849106
580438.0,88.18000030517578,258.1302185058594,0.058501698076725006,0.07060603052377701,-1.5634926557540894,-0.032741155475378036,0.10860098153352737
580438.0,88.19999694824219,258.1302185058594,0.058878686279058456,0.07060603052377701,-1.8638091087341309,-0.032735101878643036,0.10857736319303513
580438.0,88.22000122070312,258.1302185058594,0.05917713791131973,0.07060603052377701,-1.2425367832183838,-0.03279554843902588,0.10869444906711578
580438.0,88.23999786376953,258.1302185058594,0.06794331967830658,0.07060603052377701,-2.3245832920074463,-0.03293551504611969,0.10886100679636002
580438.0,88.26000213623047,258.1302185058594,0.06766057759523392,0.07060603052377701,-1.8638091087341309,-0.032964225858449936,0.10880251973867416
580438.0,88.27999877929688,258.1302185058594,0.06733071058988571,0.07060603052377701,-2.0915074348449707,-0.03289245814085007,0.10878293961286545
580438.0,88.30000305175781,258.1302185058594,0.04901612922549248,0.07060603052377701,-1.8638091087341309,-0.03276772052049637,0.10867096483707428
580438.0,88.31999969482422,258.1302185058594,0.07576204836368561,0.07060603052377701,-1.1896382570266724,-0.032755374908447266,0.10857415199279785
580438.0,88.33999633789062,258.1302185058594,0.07590342313051224,0.07060603052377701,-0.8020532727241516,-0.032886702567338943,0.10854595899581909
580438.0,88.36000061035156,258.1302185058594,0.04967586323618889,0.07060603052377701,-2.5108392238616943,-0.03305299952626228,0.10853520035743713
580438.0,88.37999725341797,258.1302185058594,0.04863913729786873,0.07060603052377701,-2.0915074348449707,-0.03317149356007576,0.10855112224817276
580438.0,88.4000015258789,258.1302185058594,0.06142497807741165,0.07060603052377701,-1.6041098833084106,-0.03298969939351082,0.10853850096464157
580438.0,88.41999816894531,258.1302185058594,0.05829749256372452,0.07060603052377701,-2.0915074348449707,-0.03273584693670273,0.10852120071649551
580438.0,88.44000244140625,258.1302185058594,0.07210429757833481,0.07060603052377701,-2.2685601711273193,-0.03268877789378166,0.10847672075033188
580438.0,88.45999908447266,258.1302185058594,0.06854022294282913,0.07060603052377701,-1.8638091087341309,-0.03288150951266289,0.10832355916500092
580438.0,88.4800033569336,258.1302185058594,0.049597322940826416,0.07060603052377701,-0.6212676167488098,-0.03306366503238678,0.10830111801624298
580438.0,88.5,258.1302185058594,0.04865484684705734,0.07060603052377701,-1.5634926557540894,-0.033147621899843216,0.10830479115247726
580438.0,88.5199966430664,258.1302185058594,0.07452111691236496,0.07060603052377701,-1.1896382570266724,-0.03298874571919441,0.10830268263816833
580438.0,88.54000091552734,258.1302185058594,0.061095111072063446,0.07060603052377701,-1.5634926557540894,-0.032769154757261276,0.10829250514507294
580438.0,88.55999755859375,258.1302185058594,0.06137785688042641,0.07060603052377701,-1.6041098833084106,-0.03249264508485794,0.10817369073629379
580438.0,88.58000183105469,258.1302185058594,0.05265204608440399,0.07060603052377701,-1.5634844303131104,-0.03226333111524582,0.10809659212827682
580439.0,88.5999984741211,258.1936340332031,0.071884386241436,0.06885429471731186,-1.8638091087341309,-0.02869059331715107,0.11286496371030807
580439.0,88.62000274658203,258.1936340332031,0.053358905017375946,0.06885429471731186,-0.6212676167488098,-0.028742356225848198,0.11290577799081802
580439.0,88.63999938964844,258.1936340332031,0.06733071058988571,0.06885429471731186,-2.485085964202881,-0.0288537610322237,0.11286188662052155
580439.0,88.66000366210938,258.1936340332031,0.058360327035188675,0.06885429471731186,-1.5634844303131104,-0.028691908344626427,0.11283393204212189
580439.0,88.68000030517578,258.1936340332031,0.058941520750522614,0.06885429471731186,-1.4789156913757324,-0.02859693579375744,0.11301181465387344
580439.0,88.69999694824219,258.1936340332031,0.0636398047208786,0.06885429471731186,-0.7173773646354675,-0.0286941509693861,0.11313285678625107
580439.0,88.72000122070312,258.1936340332031,0.05969550088047981,0.06885429471731186,-0.7173781394958496,-0.029076410457491875,0.11320001631975174
580439.0,88.73999786376953,258.1936340332031,0.058360327035188675,0.06885429471731186,-1.5634844303131104,-0.029383817687630653,0.11319008469581604
580439.0,88.76000213623047,258.1936340332031,0.04760241135954857,0.06885429471731186,-1.2932734489440918,-0.02930222637951374,0.11310318857431412
580439.0,88.77999877929688,258.1936340332031,0.05070425942540169,0.06885429471731186,-1.8289549350738525,-0.028887564316391945,0.11292029917240143
580439.0,88.80000305175781,258.1936340332031,0.0477437861263752,0.06885429471731186,-1.5634926557540894,-0.02832660637795925,0.11277815699577332
580439.0,88.81999969482422,258.1936340332031,0.0399986132979393,0.06885429471731186,-1.1342754364013672,-0.027952592819929123,0.11280761659145355
580439.0,88.83999633789062,258.1936340332031,0.05444275215268135,0.06885429471731186,-1.4789156913757324,-0.027997929602861404,0.11297669261693954
580439.0,88.86000061035156,258.1936340332031,0.0638597160577774,0.06885429471731186,-0.7173773646354675,-0.02838745154440403,0.11308576166629791
580439.0,88.87999725341797,258.1936340332031,0.05933421850204468,0.06885429471731186,-0.6212676167488098,-0.028785889968276024,0.1131315529346466
580439.0,88.9000015258789,258.1936340332031,0.061990465968847275,0.06885429471731186,-0.6212676167488098,-0.029005276039242744,0.11300398409366608
580439.0,88.91999816894531,258.1936340332031,0.05693089962005615,0.06885429471731186,-0.6212676167488098,-0.02891327068209648,0.1129935011267662
580439.0,88.94000244140625,258.1936340332031,0.05630258098244667,0.06885429471731186,-0.6212676167488098,-0.02847117930650711,0.11304425448179245
580439.0,88.95999908447266,258.1936340332031,0.07021934539079666,0.06885429471731186,-0.6212676167488098,-0.02788505144417286,0.11295649409294128
580439.0,88.9800033569336,258.1936340332031,0.05810899659991264,0.06885429471731186,-1.4789156913757324,-0.027500145137310028,0.1128925085067749
580439.0,89.0,258.1936340332031,0.06888579577207565,0.06885429471731186,-0.7173773646354675,-0.027359353378415108,0.11286770552396774
580439.0,89.0199966430664,258.1936340332031,0.06033952906727791,0.06885429471731186,-0.7173773646354675,-0.02756877988576889,0.11310029029846191
